id,category,subcategory,text_core
A01,study,習慣,勉強を始めるときは、一番簡単な1問から入ると集中しやすい。
A02,study,習慣,5分だけでもいい。「とりあえず始める」が一番むずかしい。
A03,study,習慣,全部やろうとせず、1日の到達点を決めるだけで心が軽くなる。
A04,study,習慣,学習習慣は毎日同じ時間に1問だけで作れる。
A05,study,習慣,朝の3分は夜の10分より効果が高いことがある。
A06,study,習慣,イヤな日はタイマー1分でもOK。
A07,study,習慣,続けるコツは切り上げポイントを早めに作ること。
A08,study,習慣,終わりが見えると行動しやすい。区切りを細かく。
A09,study,習慣,疲れた日は知識より図や資料を見ると入りやすい。
A10,study,習慣,調子が悪い日があるからこそ、伸びる日が生まれる。
A01,study,記憶,復習は3日後が最も効果的。
A02,study,記憶,できた問題を1週間後に解くと定着が強くなる。
A03,study,記憶,間違えた問題は理由を言語化すると忘れにくい。
A04,study,記憶,似た問題は何が違うか探すと理解が深い。
A05,study,記憶,音読は記憶に残りやすい方法のひとつ。
A06,study,記憶,語句は書くより声に出すほうが覚えやすい。
A07,study,記憶,復習は覚えていないところだけやる。
A08,study,記憶,30個一気より3個×10セットの方が定着する。
A09,study,記憶,分かったつもりは説明すると確認できる。
A10,study,記憶,覚えにくい言葉は図や写真とセットで覚える。
A01,study,考え方,問題は読み方が9割。読む順番を決めると安定する。
A02,study,考え方,難問は何を比べる問題か考えると突破口が開く。
A03,study,考え方,分からない問題は図を描くと進む。
A04,study,考え方,頭の中だけで考えず書くと混乱が消える。
A05,study,考え方,文章を読んだら出てきた語句を3つ書くと整理できる。
A06,study,考え方,文章が長いときは最初の1文で半分理解できる。
A07,study,考え方,正解を当てるより不正解を消す方が楽。
A08,study,考え方,自分の言葉に言い換えられたら理解できている証拠。
A09,study,考え方,理由を理解すると忘れにくい。
A10,study,考え方,解く順番を固定すると安定感が増す。
A01,study,メンタル,今日はつらい、があるから昨日より成長できる。
A02,study,メンタル,完璧主義より60点主義の方が伸びる。
A03,study,メンタル,間違えた理由は責めず、直し方だけを考える。
A04,study,メンタル,進まない日は少しだけ進めば十分。
A05,study,メンタル,勉強は積むより続けるほうが難しいが続ける人が勝つ。
A06,study,メンタル,ライバルは他人ではなく昨日の自分。
