種類,学年,レッスンID,ファイル名,タイトル,対応するレッスンID
わかる編,小5,"sci.biology.animal_classification","biology_animal_classification.js","動物の分類",
わかる編,小6,"sci.biology.bones_muscles_senses","biology_bones_muscles_senses.js","骨と筋肉, 感覚器",
わかる編,小5,"sci.biology.digestion_absorption","biology_digestion_absorption.js","消化と吸収",
わかる編,小6,"sci.biology.environment_energy","biology_environment_energy.js","環境問題 エネルギー問題",
わかる編,小5,"sci.biology.food_chain","biology_food_chain.js","生物のつながり（食物連鎖）",
わかる編,小6,"sci.biology.heart_blood_circulation","biology_heart_blood_circulation.js","心臓と血液のじゅんかん",
わかる編,小6,"sci.biology.human_birth","biology_human_birth.js","ヒトのたんじょう",
わかる編,小5,"sci.biology.human_body_digestion_respiration","biology_human_body_digestion_respiration.js","人体①（消化・呼吸・血液）",
わかる編,小5,"sci.biology.human_body_nervous_motion","biology_human_body_nervous_motion.js","人体②（神経・運動）",
わかる編,小4,"sci.biology.insect_body_lifecycle","biology_insect_body_lifecycle.js","こん虫のからだと育ち方",
わかる編,小5,"sci.biology.living_things_seasons","biology_living_things_seasons.js","生物のくらしと四季",
わかる編,小4,"sci.biology.medaka_lifecycle","biology_medaka_lifecycle.js","メダカの育ち方",
わかる編,小4,"sci.biology.microscope_water_organisms","biology_microscope_water_organisms.js","けんび鏡 水中の小さな生物",
わかる編,小5,"sci.biology.photosynthesis","biology_photosynthesis.js","光合成のしくみ",
わかる編,小5,"sci.biology.plant_classification","biology_plant_classification.js","植物のなかま分け",
わかる編,小4,"sci.biology.plant_structure","biology_plant_structure.js","植物の成長",
わかる編,小5,"sci.biology.plant_structure_transpiration_integrated","biology_plant_structure_transpiration_integrated.js","植物のつくりとはたらき",
わかる編,小4,"sci.biology.plants_growth_light","biology_plants_growth_light.js","植物の成長",
わかる編,小4,"sci.biology.plants_observation","biology_plants_observation.js","花のつくりと受粉",
わかる編,小6,"sci.biology.respiration_excretion","biology_respiration_excretion.js","呼吸と排出",
わかる編,小4,"sci.biology.seasons_living_things_summer","biology_seasons_living_things_summer.js","季節と生物（夏〜冬）",
わかる編,小4,"sci.biology.seeds_germination","biology_seeds_germination.js","種子のつくりと発芽",
わかる編,小5,"sci.biology.transpiration_respiration","biology_transpiration_respiration.js","植物のつくりとはたらき",
わかる編,小4,"sci.chemistry.air_combustion_integrated","chemistry_air_combustion_integrated.js","空気と燃焼",
わかる編,小5,"sci.chemistry.dissolution_solution","chemistry_dissolution_solution.js","物の溶け方（溶解・水溶液・飽和）",
わかる編,小6,"sci.chemistry.neutralization","chemistry_neutralization.js","中 和",
わかる編,小4,"sci.chemistry.physics_heat_transfer","chemistry_physics_heat_transfer.js","メスシリンダー, ろ過、 ガスバーナー",
わかる編,小4,"sci.chemistry.physics_lab_equipment","chemistry_physics_lab_equipment.js","メスシリンダー, ろ過、 ガスバーナー",
わかる編,小5,"sci.chemistry.solution_integrated","chemistry_solution_integrated.js","水溶液（溶解度・とけ方・濃さ）",
わかる編,小6,"sci.chemistry.solution_metal_reaction","chemistry_solution_metal_reaction.js","水よう液と金属の反応",
わかる編,小6,"sci.chemistry.various_gases","chemistry_various_gases.js","いろいろな気体",
わかる編,小4,"sci.chemistry.water_state_integrated","chemistry_water_state_integrated.js","水の状態変化（統合）",
わかる編,小6,"sci.comprehensive.animals_comprehensive","comprehensive_animals_comprehensive.js","動物総合",
わかる編,小6,"sci.comprehensive.astronomy_comprehensive","comprehensive_astronomy_comprehensive.js","天体総合（太陽・月・地球・惑星）",
わかる編,小6,"sci.comprehensive.biology_comprehensive","comprehensive_biology_comprehensive.js","生物総合",
わかる編,小6,"sci.comprehensive.chemistry_comprehensive","comprehensive_chemistry_comprehensive.js","化学総合",
わかる編,小6,"sci.comprehensive.combustion_comprehensive","comprehensive_combustion_comprehensive.js","気体・燃焼総合（計算含む）",
わかる編,小6,"sci.comprehensive.earth_science_comprehensive","comprehensive_earth_science_comprehensive.js","地学総合",
わかる編,小6,"sci.comprehensive.electricity_comprehensive","comprehensive_electricity_comprehensive.js","電気総合（回路／電力／発熱）",
わかる編,小6,"sci.comprehensive.human_body_comprehensive","comprehensive_human_body_comprehensive.js","ヒトの体総合（全分野の横断）",
わかる編,小6,"sci.comprehensive.light_sound_comprehensive","comprehensive_light_sound_comprehensive.js","光・音の総合",
わかる編,小6,"sci.comprehensive.mechanics_comprehensive","comprehensive_mechanics_comprehensive.js","力学総合（てこ／滑車／ばね／浮力）",
わかる編,小6,"sci.comprehensive.physics_comprehensive","comprehensive_physics_comprehensive.js","物理総合",
わかる編,小6,"sci.comprehensive.physics_comprehensive_advanced","comprehensive_physics_comprehensive_advanced.js","物理総合（最難関中対応）",
わかる編,小6,"sci.comprehensive.strata_comprehensive","comprehensive_strata_comprehensive.js","大地の変化総合（地層／化石／火山／地震）",
わかる編,小6,"sci.comprehensive.water_solution_comprehensive","comprehensive_water_solution_comprehensive.js","水溶液総合（酸・アルカリ・中和）",
わかる編,小6,"sci.comprehensive.weather_comprehensive","comprehensive_weather_comprehensive.js","気象総合（前線／台風／天気図読み取り）",
わかる編,小6,"sci.earth.clouds_fronts_weather_map","earth_clouds_fronts_weather_map.js","気象（雲・前線・天気図）",
わかる編,小5,"sci.earth.earthquake_basic","earth_earthquake_basic.js","地震の基礎",
わかる編,小5,"sci.earth.earthquake_structure","earth_earthquake_structure.js","地震と地震のしくみ",
わかる編,小5,"sci.earth.fossils_strata","earth_fossils_strata.js","化石と地層のようす",
わかる編,小6,"sci.earth.front_weather_land_sea_breeze","earth_front_weather_land_sea_breeze.js","前線と天気, 海陸風",
わかる編,小6,"sci.earth.japan_weather","earth_japan_weather.js","日本の天気",
わかる編,小5,"sci.earth.land_river_erosion","earth_land_river_erosion.js","流水と地形の変化",
わかる編,小5,"sci.earth.moon_movement","earth_moon_movement.js","月の動き",
わかる編,小4,"sci.earth.river_work","earth_river_work.js","川のはたらき",
わかる編,小5,"sci.earth.rocks","earth_rocks.js","岩石",
わかる編,小4,"sci.earth.solar_system","earth_solar_system.js","太陽系",
わかる編,小4,"sci.earth.stars_constellations_integrated","earth_stars_constellations_integrated.js","星と星座・星の動き",
わかる編,小5,"sci.earth.strata_formation","earth_strata_formation.js","地層のでき方",
わかる編,小5,"sci.earth.sun_movement","earth_sun_movement.js","太陽の動き",
わかる編,小4,"sci.earth.sun_movement_shadow","earth_sun_movement_shadow.js","太陽と影（基礎）",
わかる編,小5,"sci.earth.temperature_changes","earth_temperature_changes.js","気温の変化",
わかる編,小5,"sci.earth.various_landforms","earth_various_landforms.js","いろいろな地形",
わかる編,小5,"sci.earth.volcano_structure_land_change_integrated","earth_volcano_structure_land_change_integrated.js","火山のしくみ・火山と大地の変化統合版",
わかる編,小4,"sci.earth.weather_changes","earth_weather_changes.js","天気の変化",
わかる編,小5,"sci.earth.weather_observation_pressure_wind","earth_weather_observation_pressure_wind.js","気象の観測と雲のでき方",
わかる編,小5,"sci.physics.balance","physics_balance.js","上皿てんびん",
わかる編,小5,"sci.physics.current_circuit_integrated","physics_current_circuit_integrated.js","電気の基礎と回路を流れる電流の大きさ（統合）",
わかる編,小5,"sci.physics.current_compass","physics_current_compass.js","流れる電流と方位磁針",
わかる編,小5,"sci.physics.current_effect_heating","physics_current_effect_heating.js","電流の作用①（発熱）",
わかる編,小5,"sci.physics.current_effect_magnetic","physics_current_effect_magnetic.js","電流の作用②（磁界）",
わかる編,小5,"sci.physics.current_magnitude","physics_current_magnitude.js","電気の基礎と回路を流れる電流の大きさ（統合）",
わかる編,小5,"sci.physics.current_voltage_circuit","physics_current_voltage_circuit.js","電気の基礎と回路を流れる電流の大きさ（統合）",
わかる編,小4,"sci.physics.electricity_conductivity_basic","physics_electricity_conductivity_basic.js","電気（乾電池と豆電球）",
わかる編,小5,"sci.physics.force_motion_pulley_integrated","physics_force_motion_pulley_integrated.js","力と運動（浮力・かっ車・輪じく）統合版",
わかる編,小4,"sci.physics.heat_properties","physics_heat_properties.js","熱の性質とものの変化",
わかる編,小5,"sci.physics.lever_weight_basic","physics_lever_weight_basic.js","てこのつり合い",
わかる編,小5,"sci.physics.light_properties","physics_light_properties.js","光の性質",
わかる編,小5,"sci.physics.light_reflection_refraction","physics_light_reflection_refraction.js","光の性質②（反射・屈折・影）",
わかる編,小5,"sci.physics.moving_weight","physics_moving_weight.js","ふりことおもりの運動",
わかる編,小5,"sci.physics.pendulum","physics_pendulum.js","ふりことおもりの運動",
わかる編,小5,"sci.physics.pendulum_moving_weight_integrated","physics_pendulum_moving_weight_integrated.js","ふりことおもりの運動",
わかる編,小5,"sci.physics.sound_properties","physics_sound_properties.js","音の性質",
わかる編,小5,"sci.physics.spring_force_buoyancy_integrated","physics_spring_force_buoyancy_integrated.js","ばねと力・ばねと浮力統合版",
わかる編,小4,"sci.physics.weight_volume_basic","physics_weight_volume_basic.js","つり合いとてんびん",
わかる編,小4,"sci.biology.seasons_living_things","seasons_living_things_spring.js","季節と生物（春）",
おぼえる編（対応あり）,小5,"sci.biology.animal_classification_oboeru","biology_animal_classification_oboeru.js","動物の分類〈覚える編〉","sci.biology.animal_classification"
おぼえる編（対応あり）,小6,"sci.biology.bones_muscles_senses_oboeru","biology_bones_muscles_senses_oboeru.js","骨と筋肉, 感覚器〈覚える編〉","sci.biology.bones_muscles_senses"
おぼえる編（対応あり）,小5,"sci.biology.digestion_absorption_oboeru","biology_digestion_absorption_oboeru.js","消化と吸収〈覚える編〉","sci.biology.digestion_absorption"
おぼえる編（対応あり）,小6,"sci.biology.environment_energy_oboeru","biology_environment_energy_oboeru.js","環境問題 エネルギー問題〈覚える編〉","sci.biology.environment_energy"
おぼえる編（対応あり）,小5,"sci.biology.food_chain_oboeru","biology_food_chain_oboeru.js","生物のつながり（食物連鎖）〈覚える編〉","sci.biology.food_chain"
おぼえる編（対応あり）,小6,"sci.biology.heart_blood_circulation_oboeru","biology_heart_blood_circulation_oboeru.js","心臓と血液のじゅんかん〈覚える編〉","sci.biology.heart_blood_circulation"
