id,baseId,tone,category,subcategory,appFeature,message
A01_cynical,A01,cynical,study,習慣,"calendar,character_comment",勉強を始めるときは、一番簡単な1問から入ると集中しやすい。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A01_encourage,A01,encourage,study,習慣,"calendar,character_comment",勉強を始めるときは、一番簡単な1問から入ると集中しやすい。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A02_cynical,A02,cynical,study,習慣,"calendar,character_comment",5分だけでもいい。「とりあえず始める」が一番むずかしい。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A02_encourage,A02,encourage,study,習慣,"calendar,character_comment",5分だけでもいい。「とりあえず始める」が一番むずかしい。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A03_cynical,A03,cynical,study,習慣,"calendar,character_comment",全部やろうとせず、1日の到達点を決めるだけで心が軽くなる。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A03_encourage,A03,encourage,study,習慣,"calendar,character_comment",全部やろうとせず、1日の到達点を決めるだけで心が軽くなる。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A04_cynical,A04,cynical,study,習慣,"calendar,character_comment",学習習慣は毎日同じ時間に1問だけで作れる。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A04_encourage,A04,encourage,study,習慣,"calendar,character_comment",学習習慣は毎日同じ時間に1問だけで作れる。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A05_cynical,A05,cynical,study,習慣,"calendar,character_comment",朝の3分は夜の10分より効果が高いことがある。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A05_encourage,A05,encourage,study,習慣,"calendar,character_comment",朝の3分は夜の10分より効果が高いことがある。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A06_cynical,A06,cynical,study,習慣,"calendar,character_comment",イヤな日はタイマー1分でもOK。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
A06_encourage,A06,encourage,study,習慣,"calendar,character_comment",イヤな日はタイマー1分でもOK。 今日この一行を読んだあなたは、確実に一歩進んでるよ。ゆっくりで大丈夫。
A07_cynical,A07,cynical,study,習慣,"calendar,character_comment",続けるコツは切り上げポイントを早めに作ること。…って、頭では分かっててもなかなかできないんだよね。でも、それが普通。
